"","CITY","COUNTY","PIN","YEAR","NUMSTUDS","WHITE","BLACK","DISTRICT","YEAR_LIFTED","region","DISMISSED","PRIVATE"
"1","ABBEVILLE","HENRY COUNTY","00001026","1997",261,258,0,"HENRY COUNTY","2006","COUNTY",1,1
"2","ABBEVILLE","HENRY COUNTY","00001026","2009",157,150,1,"HENRY COUNTY","2006","COUNTY",1,1
"3","ABBEVILLE","HENRY COUNTY","00001026","2007",318,314,0,"HENRY COUNTY","2006","COUNTY",1,1
"4","ABBEVILLE","HENRY COUNTY","00001026","2013",185,176,2,"HENRY COUNTY","2006","COUNTY",1,1
"5","ABBEVILLE","HENRY COUNTY","A1170094","2011",6,1,5,"HENRY COUNTY","2006","COUNTY",1,1
"6","ABBEVILLE","HENRY COUNTY","00001026","2001",219,216,0,"HENRY COUNTY","2006","COUNTY",1,1
"7","ABBEVILLE","HENRY COUNTY","00001026","1995",278,277,0,"HENRY COUNTY","2006","COUNTY",1,1
"8","ABBEVILLE","HENRY COUNTY","00001026","2005",220,217,0,"HENRY COUNTY","2006","COUNTY",1,1
"9","ABBEVILLE","HENRY COUNTY","00001026","1999",236,233,0,"HENRY COUNTY","2006","COUNTY",1,1
"10","ABBEVILLE","HENRY COUNTY","00001026","2003",239,236,0,"HENRY COUNTY","2006","COUNTY",1,1
"11","ABBEVILLE","HENRY COUNTY","00001026","1993",261,260,0,"HENRY COUNTY","2006","COUNTY",1,1
"12","ADAMSVILLE","JEFFERSON COUNTY","A9900031","2003",29,29,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"13","ALABASTER","SHELBY COUNTY","A9302333","1997",60,40,19,"ALABASTER CITY","STILL OPEN","CITY",0,1
"14","ALABASTER","SHELBY COUNTY","01608811","2011",393,339,15,"ALABASTER CITY","STILL OPEN","CITY",0,1
"15","ALABASTER","SHELBY COUNTY","A0770204","2009",12,12,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"16","ALABASTER","SHELBY COUNTY","A0770204","2007",12,11,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"17","ALABASTER","SHELBY COUNTY","01608811","2007",431,393,22,"ALABASTER CITY","STILL OPEN","CITY",0,1
"18","ALABASTER","SHELBY COUNTY","01608811","1997",523,488,20,"ALABASTER CITY","STILL OPEN","CITY",0,1
"19","ALABASTER","SHELBY COUNTY","01608811","1995",441,426,10,"ALABASTER CITY","STILL OPEN","CITY",0,1
"20","ALABASTER","SHELBY COUNTY","A9302333","1999",47,35,12,"ALABASTER CITY","STILL OPEN","CITY",0,1
"21","ALABASTER","SHELBY COUNTY","A0770049","2007",252,245,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"22","ALABASTER","SHELBY COUNTY","A0770204","2011",13,13,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"23","ALABASTER","SHELBY COUNTY","A0770049","2009",295,292,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"24","ALABASTER","SHELBY COUNTY","A0770204","2013",12,11,0,"ALABASTER CITY","STILL OPEN","CITY",0,1
"25","ALABASTER","SHELBY COUNTY","A1300009","2013",49,32,13,"ALABASTER CITY","STILL OPEN","CITY",0,1
"26","ALABASTER","SHELBY COUNTY","01608811","2009",413,367,28,"ALABASTER CITY","STILL OPEN","CITY",0,1
"27","ALABASTER","SHELBY COUNTY","A0770049","2011",336,301,2,"ALABASTER CITY","STILL OPEN","CITY",0,1
"28","ALABASTER","SHELBY COUNTY","A9302333","1993",50,42,8,"ALABASTER CITY","STILL OPEN","CITY",0,1
"29","ALABASTER","SHELBY COUNTY","A9302333","2001",55,41,14,"ALABASTER CITY","STILL OPEN","CITY",0,1
"30","ALABASTER","SHELBY COUNTY","01608811","1993",344,332,8,"ALABASTER CITY","STILL OPEN","CITY",0,1
"31","ALABASTER","SHELBY COUNTY","A9302333","1995",52,26,25,"ALABASTER CITY","STILL OPEN","CITY",0,1
"32","ALBERTVILLE","MARSHALL COUNTY","A0700013","2013",168,167,1,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"33","ALBERTVILLE","MARSHALL COUNTY","A0700013","2011",137,130,4,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"34","ALBERTVILLE","MARSHALL COUNTY","A0700013","2009",94,85,0,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"35","ALBERTVILLE","MARSHALL COUNTY","A0700013","2007",40,37,3,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"36","ALEX CITY","TALLAPOOSA COUNTY","AA001585","1997",30,29,1,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"37","ALEXANDER CITY","TALLAPOOSA COUNTY","A0500035","2005",50,48,2,"ALEXANDER CITY","2002","CITY",1,1
"38","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1993",41,40,1,"ALEXANDER CITY","2002","CITY",1,1
"39","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2003",29,26,3,"ALEXANDER CITY","2002","CITY",1,1
"40","ALEXANDER CITY","TALLAPOOSA COUNTY","A9900046","2001",58,52,5,"ALEXANDER CITY","2002","CITY",1,1
"41","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1999",36,33,2,"ALEXANDER CITY","2002","CITY",1,1
"42","ALEXANDER CITY","TALLAPOOSA COUNTY","A9900046","1999",40,38,2,"ALEXANDER CITY","2002","CITY",1,1
"43","ALEXANDER CITY","TALLAPOOSA COUNTY","A0900025","2009",40,39,0,"ALEXANDER CITY","2002","CITY",1,1
"44","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","1995",32,30,2,"ALEXANDER CITY","2002","CITY",1,1
"45","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2001",36,33,3,"ALEXANDER CITY","2002","CITY",1,1
"46","ALEXANDER CITY","TALLAPOOSA COUNTY","AA001585","2009",3,3,0,"ALEXANDER CITY","2002","CITY",1,1
"47","ALEXANDER CITY","TALLAPOOSA COUNTY","A0900025","2011",46,40,3,"ALEXANDER CITY","2002","CITY",1,1
"48","ALEXANDER CITY","TALLAPOOSA COUNTY","A0500035","2007",14,14,0,"ALEXANDER CITY","2002","CITY",1,1
"49","ALTOONA","BLOUNT COUNTY","A0300032","2009",7,6,1,"BLOUNT COUNTY","2005","COUNTY",1,1
"50","ALTOONA","BLOUNT COUNTY","A0300032","2005",31,31,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"51","ALTOONA","BLOUNT COUNTY","A0300032","2007",6,6,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"52","ALTOONA","ETOWAH COUNTY","BB130004","2013",8,8,0,"ETOWAH COUNTY","2007","COUNTY",1,1
"53","ANDALUSIA","COVINGTON COUNTY","A0500010","2005",5,5,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"54","ANDALUSIA","COVINGTON COUNTY","A0500010","2007",6,6,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"55","ANDALUSIA","COVINGTON COUNTY","A0500010","2009",9,9,0,"COVINGTON COUNTY","2006","COUNTY",1,1
"56","ANDALUSIA","COVINGTON COUNTY","A0900040","2009",85,78,5,"COVINGTON COUNTY","2006","COUNTY",1,1
"57","ANDALUSIA","COVINGTON COUNTY","A0900040","2011",5,4,1,"COVINGTON COUNTY","2006","COUNTY",1,1
"58","ANNISTON","CALHOUN COUNTY","00001332","2011",358,311,10,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"59","ANNISTON","CALHOUN COUNTY","A9100130","1995",193,163,10,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"60","ANNISTON","CALHOUN COUNTY","00001332","2003",344,260,35,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"61","ANNISTON","CALHOUN COUNTY","00001332","2005",339,295,15,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"62","ANNISTON","CALHOUN COUNTY","A9100130","2005",340,299,29,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"63","ANNISTON","CALHOUN COUNTY","00000306","1995",167,147,14,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"64","ANNISTON","CALHOUN COUNTY","A9703761","2003",25,3,21,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"65","ANNISTON","CALHOUN COUNTY","A9100130","1999",311,295,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"66","ANNISTON","CALHOUN COUNTY","00001332","2013",327,286,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"67","ANNISTON","CALHOUN COUNTY","A9100130","1997",248,240,4,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"68","ANNISTON","CALHOUN COUNTY","A9100130","2013",329,306,19,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"69","ANNISTON","CALHOUN COUNTY","00001332","1997",506,483,6,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"70","ANNISTON","CALHOUN COUNTY","A0100109","2003",34,32,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"71","ANNISTON","CALHOUN COUNTY","A9703721","1997",13,11,2,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"72","ANNISTON","CALHOUN COUNTY","A9100130","2011",276,252,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"73","ANNISTON","CALHOUN COUNTY","A0100109","2009",47,39,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"74","ANNISTON","CALHOUN COUNTY","A0100109","2005",44,35,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"75","ANNISTON","CALHOUN COUNTY","A0100388","2003",34,18,16,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"76","ANNISTON","CALHOUN COUNTY","A0100109","2001",29,29,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"77","ANNISTON","CALHOUN COUNTY","A0100383","2001",3,3,0,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"78","ANNISTON","CALHOUN COUNTY","A9100130","2001",328,312,7,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"79","ANNISTON","CALHOUN COUNTY","00000306","1997",159,136,18,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"80","ANNISTON","CALHOUN COUNTY","00001332","2007",377,337,11,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"81","ANNISTON","CALHOUN COUNTY","A9100130","1993",125,115,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"82","ANNISTON","CALHOUN COUNTY","00000306","1993",182,145,28,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"83","ANNISTON","CALHOUN COUNTY","00001332","1995",525,487,14,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"84","ANNISTON","CALHOUN COUNTY","A0100413","2001",10,7,3,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"85","ANNISTON","CALHOUN COUNTY","00000306","1999",165,129,21,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"86","ANNISTON","CALHOUN COUNTY","A9100130","2009",318,292,15,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"87","ANNISTON","CALHOUN COUNTY","A9100130","2003",327,309,12,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"88","ANNISTON","CALHOUN COUNTY","A9100130","2007",317,294,15,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"89","ANNISTON","CALHOUN COUNTY","00001332","2009",366,324,8,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"90","ANNISTON","CALHOUN COUNTY","00001332","1993",509,479,14,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"91","ANNISTON","CALHOUN COUNTY","A9703761","2001",15,4,9,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"92","ANNISTON","CALHOUN COUNTY","00001332","2001",371,341,8,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"93","ANNISTON","CALHOUN COUNTY","A0100109","2007",45,35,8,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"94","ANNISTON","CALHOUN COUNTY","A0100158","2001",18,17,1,"CALHOUN COUNTY","STILL OPEN","COUNTY",0,1
"95","ARAB","MARSHALL COUNTY","A0770135","2007",22,22,0,"MARSHALL COUNTY","STILL OPEN","COUNTY",0,1
"96","ARLINGTON","WILCOX COUNTY","AA890004","1993",40,0,40,"WILCOX COUNTY","1979","COUNTY",1,1
"97","ARLINGTON","WILCOX COUNTY","AA890004","1997",16,1,15,"WILCOX COUNTY","1979","COUNTY",1,1
"98","ARLINGTON","WILCOX COUNTY","AA890004","2001",11,0,11,"WILCOX COUNTY","1979","COUNTY",1,1
"99","ARLINGTON","WILCOX COUNTY","AA890004","1999",20,0,20,"WILCOX COUNTY","1979","COUNTY",1,1
"100","ARLINGTON","WILCOX COUNTY","AA890004","1995",34,0,34,"WILCOX COUNTY","1979","COUNTY",1,1
"101","ARLINGTON","WILCOX COUNTY","AA890004","2003",12,0,12,"WILCOX COUNTY","1979","COUNTY",1,1
"102","ASHFORD","HOUSTON COUNTY","00002733","2009",157,155,2,"HOUSTON COUNTY","2008","COUNTY",1,1
"103","ASHFORD","HOUSTON COUNTY","00002733","2001",172,169,1,"HOUSTON COUNTY","2008","COUNTY",1,1
"104","ASHFORD","HOUSTON COUNTY","00002733","1997",308,301,3,"HOUSTON COUNTY","2008","COUNTY",1,1
"105","ASHFORD","HOUSTON COUNTY","00002733","2003",254,250,1,"HOUSTON COUNTY","2008","COUNTY",1,1
"106","ASHFORD","HOUSTON COUNTY","00002733","2007",183,177,2,"HOUSTON COUNTY","2008","COUNTY",1,1
"107","ASHFORD","HOUSTON COUNTY","00002733","2013",126,123,3,"HOUSTON COUNTY","2008","COUNTY",1,1
"108","ASHFORD","HOUSTON COUNTY","00002733","2005",182,178,2,"HOUSTON COUNTY","2008","COUNTY",1,1
"109","ASHFORD","HOUSTON COUNTY","00002733","1995",252,251,0,"HOUSTON COUNTY","2008","COUNTY",1,1
"110","ASHFORD","HOUSTON COUNTY","00002733","2011",137,135,2,"HOUSTON COUNTY","2008","COUNTY",1,1
"111","ASHFORD","HOUSTON COUNTY","00002733","1993",241,240,0,"HOUSTON COUNTY","2008","COUNTY",1,1
"112","ASHFORD","HOUSTON COUNTY","00002733","1999",219,216,1,"HOUSTON COUNTY","2008","COUNTY",1,1
"113","ASHLAND","CLAY COUNTY","A9900026","2001",100,98,2,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"114","ASHLAND","CLAY COUNTY","A0500025","2009",72,71,0,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"115","ASHLAND","CLAY COUNTY","A9900026","2005",159,140,19,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"116","ASHLAND","CLAY COUNTY","A9900026","2003",116,110,6,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"117","ASHLAND","CLAY COUNTY","A9900026","2013",105,83,4,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"118","ASHLAND","CLAY COUNTY","A0500025","2011",130,125,0,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"119","ASHLAND","CLAY COUNTY","A9900026","1999",87,84,2,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"120","ASHLAND","CLAY COUNTY","A9900026","2011",124,110,11,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"121","ASHLAND","CLAY COUNTY","A9900026","2009",134,116,6,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"122","ASHLAND","CLAY COUNTY","A0500025","2013",107,102,1,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"123","ASHLAND","CLAY COUNTY","A9900026","2007",139,131,7,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"124","ASHLAND","CLAY COUNTY","A0500025","2007",137,137,0,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"125","ASHVILLE","ST. CLAIR COUNTY","A9900006","2011",15,12,1,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"126","ASHVILLE","ST. CLAIR COUNTY","A9900006","2001",53,52,1,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"127","ASHVILLE","ST. CLAIR COUNTY","A9900006","2005",39,35,4,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"128","ASHVILLE","ST. CLAIR COUNTY","A9900006","2003",39,35,4,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"129","ASHVILLE","ST. CLAIR COUNTY","A9900006","2009",17,16,1,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"130","ASHVILLE","ST. CLAIR COUNTY","A9900006","2007",30,25,5,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"131","ASHVILLE","ST. CLAIR COUNTY","A9900006","2013",20,20,0,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"132","ASHVILLE","ST. CLAIR COUNTY","A9900006","1999",42,41,1,"ST CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"133","ATHENS","LIMESTONE COUNTY","00001445","2009",330,313,1,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"134","ATHENS","LIMESTONE COUNTY","00001445","2003",310,289,9,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"135","ATHENS","LIMESTONE COUNTY","00001445","2001",329,318,4,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"136","ATHENS","LIMESTONE COUNTY","A9900022","2001",123,117,6,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"137","ATHENS","LIMESTONE COUNTY","00001445","1995",332,310,6,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"138","ATHENS","LIMESTONE COUNTY","00001445","2013",308,302,2,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"139","ATHENS","LIMESTONE COUNTY","A0900079","2009",10,10,0,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"140","ATHENS","LIMESTONE COUNTY","A9900022","2003",204,194,10,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"141","ATHENS","LIMESTONE COUNTY","00001445","2011",330,308,8,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"142","ATHENS","LIMESTONE COUNTY","A0900079","2011",7,7,0,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"143","ATHENS","LIMESTONE COUNTY","A9900022","2009",204,150,14,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"144","ATHENS","LIMESTONE COUNTY","A1100006","2011",282,279,0,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"145","ATHENS","LIMESTONE COUNTY","00001445","1999",318,297,6,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"146","ATHENS","LIMESTONE COUNTY","A9900022","1999",82,78,4,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"147","ATHENS","LIMESTONE COUNTY","A1100006","2013",315,283,17,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"148","ATHENS","LIMESTONE COUNTY","00001445","2007",349,331,4,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"149","ATHENS","LIMESTONE COUNTY","00001445","1997",314,300,6,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"150","ATHENS","LIMESTONE COUNTY","00001445","2005",333,310,11,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"151","ATHENS","LIMESTONE COUNTY","A0100172","2003",9,8,0,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"152","ATHENS","LIMESTONE COUNTY","00001445","1993",320,310,2,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"153","ATHENS","LIMESTONE COUNTY","A9900022","2005",198,175,12,"LIMESTONE COUNTY","STILL OPEN","COUNTY",0,1
"154","ATMORE","ESCAMBIA COUNTY","01608888","2009",88,85,1,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"155","ATMORE","ESCAMBIA COUNTY","A0300043","2009",41,28,13,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"156","ATMORE","ESCAMBIA COUNTY","00001015","2009",203,152,1,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"157","ATMORE","ESCAMBIA COUNTY","01608888","1999",40,31,2,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"158","ATMORE","ESCAMBIA COUNTY","01608888","2013",119,91,4,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"159","ATMORE","ESCAMBIA COUNTY","00001015","2005",238,211,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"160","ATMORE","ESCAMBIA COUNTY","00001015","2003",259,251,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"161","ATMORE","ESCAMBIA COUNTY","01608888","1993",49,48,1,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"162","ATMORE","ESCAMBIA COUNTY","A0300043","2013",28,22,6,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"163","ATMORE","ESCAMBIA COUNTY","01608888","2003",40,31,1,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"164","ATMORE","ESCAMBIA COUNTY","A0300043","2011",39,27,10,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"165","ATMORE","ESCAMBIA COUNTY","00001015","1999",236,231,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"166","ATMORE","ESCAMBIA COUNTY","01608888","2011",99,71,4,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"167","ATMORE","ESCAMBIA COUNTY","00001015","2011",296,225,3,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"168","ATMORE","ESCAMBIA COUNTY","A0300043","2003",48,36,4,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"169","ATMORE","ESCAMBIA COUNTY","00001015","1993",288,270,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"170","ATMORE","ESCAMBIA COUNTY","01608888","2005",72,68,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"171","ATMORE","ESCAMBIA COUNTY","01608888","2001",43,35,2,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"172","ATMORE","ESCAMBIA COUNTY","00001015","2013",274,232,5,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"173","ATMORE","ESCAMBIA COUNTY","00001015","2007",228,144,2,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"174","ATMORE","ESCAMBIA COUNTY","A0300043","2005",96,74,14,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"175","ATMORE","ESCAMBIA COUNTY","A0300043","2007",56,38,18,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"176","ATMORE","ESCAMBIA COUNTY","00001015","2001",260,252,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"177","ATMORE","ESCAMBIA COUNTY","01608888","1997",49,44,3,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"178","ATMORE","ESCAMBIA COUNTY","00001015","1995",185,178,0,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"179","ATMORE","ESCAMBIA COUNTY","00001015","1997",207,200,1,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"180","ATTALLA","ETOWAH COUNTY","A0300021","2003",19,19,0,"ATTALLA CITY","2006","CITY",1,1
"181","AUBURN","LEE COUNTY","02000756","1999",30,21,9,"AUBURN CITY","2002","CITY",1,1
"182","AUBURN","LEE COUNTY","02000756","2009",15,7,2,"AUBURN CITY","2002","CITY",1,1
"183","AUBURN","LEE COUNTY","00003001","2001",549,532,5,"AUBURN CITY","2002","CITY",1,1
"184","AUBURN","LEE COUNTY","00003001","1999",545,528,5,"AUBURN CITY","2002","CITY",1,1
"185","AUBURN","LEE COUNTY","A0300025","2009",25,24,0,"AUBURN CITY","2002","CITY",1,1
"186","AUBURN","LEE COUNTY","02000756","2003",15,9,4,"AUBURN CITY","2002","CITY",1,1
"187","AUBURN","LEE COUNTY","02000756","1995",34,26,8,"AUBURN CITY","2002","CITY",1,1
"188","AUBURN","LEE COUNTY","A0300025","2011",20,20,0,"AUBURN CITY","2002","CITY",1,1
"189","AUBURN","LEE COUNTY","A0300025","2005",24,6,0,"AUBURN CITY","2002","CITY",1,1
"190","AUBURN","LEE COUNTY","00003001","1993",445,436,4,"AUBURN CITY","2002","CITY",1,1
"191","AUBURN","LEE COUNTY","K9300038","1993",21,21,0,"AUBURN CITY","2002","CITY",1,1
"192","AUBURN","LEE COUNTY","A0300025","2003",21,5,0,"AUBURN CITY","2002","CITY",1,1
"193","AUBURN","LEE COUNTY","02000756","2001",26,21,3,"AUBURN CITY","2002","CITY",1,1
"194","AUBURN","LEE COUNTY","02000756","1997",32,24,8,"AUBURN CITY","2002","CITY",1,1
"195","AUBURN","LEE COUNTY","00003001","2003",614,605,3,"AUBURN CITY","2002","CITY",1,1
"196","AUBURN","LEE COUNTY","AA001096","1993",13,13,0,"AUBURN CITY","2002","CITY",1,1
"197","AUBURN","LEE COUNTY","00003001","1997",536,524,3,"AUBURN CITY","2002","CITY",1,1
"198","AUBURN","LEE COUNTY","02000756","2005",17,13,4,"AUBURN CITY","2002","CITY",1,1
"199","AUBURN","LEE COUNTY","A0300025","2007",24,24,0,"AUBURN CITY","2002","CITY",1,1
"200","AUBURN","LEE COUNTY","02000756","1993",33,28,5,"AUBURN CITY","2002","CITY",1,1
"201","AUBURN","LEE COUNTY","02000756","2007",17,7,7,"AUBURN CITY","2002","CITY",1,1
"202","AUBURN","LEE COUNTY","00003001","2007",593,563,4,"AUBURN CITY","2002","CITY",1,1
"203","AUBURN","LEE COUNTY","K9300038","1997",24,24,0,"AUBURN CITY","2002","CITY",1,1
"204","B'HAM.","JEFFERSON COUNTY","A9100164","1995",36,31,1,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"205","BAY MINETTE","BALDWIN COUNTY","A9700044","1999",9,7,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"206","BERRY","FAYETTE COUNTY","A0300036","2003",7,7,0,"FAYETTE COUNTY","STILL OPEN","COUNTY",0,1
"207","BESSEMER","JEFFERSON COUNTY","00000281","1999",61,1,59,"BESSEMER CITY","2006","CITY",1,1
"208","BESSEMER","JEFFERSON COUNTY","00001219","1995",52,0,52,"BESSEMER CITY","2006","CITY",1,1
"209","BESSEMER","JEFFERSON COUNTY","A0100036","2001",50,1,49,"BESSEMER CITY","2006","CITY",1,1
"210","BESSEMER","JEFFERSON COUNTY","00000292","1999",206,155,48,"BESSEMER CITY","2006","CITY",1,1
"211","BESSEMER","JEFFERSON COUNTY","01608822","2003",161,119,38,"BESSEMER CITY","2006","CITY",1,1
"212","BESSEMER","JEFFERSON COUNTY","02000541","2003",99,63,36,"BESSEMER CITY","2006","CITY",1,1
"213","BESSEMER","JEFFERSON COUNTY","00000292","1997",192,150,36,"BESSEMER CITY","2006","CITY",1,1
"214","BESSEMER","JEFFERSON COUNTY","A1170098","2011",3,0,3,"BESSEMER CITY","2006","CITY",1,1
"215","BESSEMER","JEFFERSON COUNTY","01608822","2009",313,225,82,"BESSEMER CITY","2006","CITY",1,1
"216","BESSEMER","JEFFERSON COUNTY","00001853","2005",51,20,31,"BESSEMER CITY","2006","CITY",1,1
"217","BESSEMER","JEFFERSON COUNTY","A0100036","2011",20,0,20,"BESSEMER CITY","2006","CITY",1,1
"218","BESSEMER","JEFFERSON COUNTY","00000292","2001",190,140,46,"BESSEMER CITY","2006","CITY",1,1
"219","BESSEMER","JEFFERSON COUNTY","02000541","1997",69,69,0,"BESSEMER CITY","2006","CITY",1,1
"220","BESSEMER","JEFFERSON COUNTY","A0700017","2009",80,0,80,"BESSEMER CITY","2006","CITY",1,1
"221","BESSEMER","JEFFERSON COUNTY","01608822","2005",224,129,62,"BESSEMER CITY","2006","CITY",1,1
